SESHID,politics,harmed1,suffered1,violence1,differently1,rights1,unfairly1,betray1,friend1,loyalty1,rank1,duties1,respect1,disgust1,purity1,unnatural1,income2,education,gender,Age
212233,-2,5,5,4,4,5,5,4,5,3,3,5,4,3,4,5,5,3,1,18
212252,-2,4,4,4,4,6,6,2,2,2,2,3,2,2,2,2,5,10,-1,37
212263,-2,6,4,5,4,6,6,5,5,6,4,4,2,3,4,4,5,14,-1,36
212424,-2,4,2,6,5,6,6,2,1,2,4,2,2,1,1,5,2,7,1,56
212494,-2,6,6,6,6,6,6,4,4,5,4,5,6,5,4,6,5,7,-1,53
212522,-2,5,5,5,5,5,5,3,4,3,3,3,5,4,2,5,4,8,1,30
212543,-2,6,5,6,5,6,6,4,4,4,3,5,4,2,2,3,4,5,1,21
212564,-2,6,5,6,6,6,5,5,1,4,1,6,4,4,4,6,2,5,1,30
212602,-2,6,4,6,4,5,4,3,4,3,3,4,3,4,2,5,2,5,-1,20
212616,-2,6,4,6,6,6,6,4,4,5,4,6,3,4,6,6,1,5,-1,28
212646,-2,4,6,6,6,6,6,3,1,3,2,5,2,1,1,2,1,5,-1,22
212648,-2,5,4,5,6,6,5,5,4,5,6,5,5,4,6,6,1,8,1,39
212658,-2,6,3,4,6,6,6,6,1,6,1,6,6,6,4,5,5,1,1,61
212698,-2,6,6,6,6,6,6,3,4,6,3,6,3,4,4,6,3,7,-1,23
212714,-2,6,5,6,5,6,5,4,3,5,1,4,2,3,2,5,2,7,1,29
212849,-2,6,6,5,5,5,6,6,3,6,1,5,3,2,2,4,1,7,-1,28
212773,-2,5,5,5,4,5,5,2,4,3,4,4,2,4,6,3,3,7,1,37
212828,-2,6,5,6,4,6,4,4,4,4,4,4,3,3,3,4,3,9,1,39
212882,-2,6,5,5,5,5,5,3,4,4,4,3,3,3,3,4,,13,1,56
212903,-2,5,4,5,6,6,6,2,4,3,2,5,4,1,2,3,4,9,-1,28
212912,-2,6,6,6,4,6,6,4,3,5,2,5,3,6,5,4,4,8,-1,45
212916,-2,6,6,6,6,6,6,3,4,6,4,5,4,3,5,4,4,6,-1,22
213143,-2,6,6,5,4,4,5,5,4,5,1,4,5,4,4,6,3,6,1,46
213227,-2,6,6,6,6,6,6,2,3,4,4,5,2,1,2,2,4,7,1,26
213229,-2,5,4,4,3,6,5,3,5,3,1,4,3,3,3,2,,7,-1,27
213249,-2,4,5,5,5,6,5,2,4,2,5,1,3,1,2,3,5,5,1,19
