WUSTLID,emote,treatd,lovec,auth,purity,attchecka,weak,unfair,betray,conform,disgust,compat,treatf,proudc,authc,nodisgust,attcheckb,hurt,justice,loyalf,roles,notnat,demfeel,repfeel,libfeel,consfeel,pid3,ideo7
990665,5,4,3,4,5,2,4,4,4,2,4,5,4,6,5,3,6,5,3,3,5,4,5,5,5,5,2,5
990666,3,5,4,5,5,3,5,5,4,5,4,6,6,5,6,6,6,6,6,5,2,6,10,0,5,5,1,NA
990667,5,5,2,4,3,2,5,5,5,3,5,NA,5,4,5,2,6,4,4,5,1,4,5,2,7,5,3,2
990670,5,5,2,3,3,1,1,4,1,1,1,6,6,6,6,6,6,6,6,6,6,6,10,5,5,5,1,4
990673,3,3,3,4,4,4,4,4,3,2,4,4,5,5,6,6,6,6,6,6,3,4,5,5,5,5,2,4
990674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990676,4,4,2,3,3,1,3,4,3,3,1,5,6,6,6,3,6,5,5,4,4,4,0,5,5,5,2,4
990677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990680,3,3,3,3,4,1,4,4,4,4,4,5,5,4,4,4,4,6,6,4,4,4,3,7,NA,5,2,5
990681,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990682,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990684,2,4,4,4,5,1,2,3,2,2,2,1,6,6,6,6,6,5,6,4,5,3,5,5,5,5,1,NA
990685,4,4,4,4,4,2,4,4,3,4,4,4,4,5,5,4,6,4,5,3,3,2,9,7,6,4,3,3
990686,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990687,3,4,3,3,3,1,3,4,3,2,3,2,1,6,6,4,5,4,4,3,4,3,1,7,1,8,2,5
990688,2,2,2,4,4,1,2,4,4,3,3,4,4,6,6,3,4,2,4,4,5,6,5,5,2,8,3,5
990689,2,5,2,2,3,1,4,5,5,5,5,5,5,5,3,5,6,4,6,3,4,1,8,0,10,0,1,1
990690,2,2,2,3,3,3,1,1,1,3,3,2,2,5,5,6,5,5,5,5,5,5,6,1,5,6,3,1
990691,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,4,6,4,4,5,3,2,7,2,8,2,1,2
990693,4,4,4,5,5,1,5,5,5,1,4,6,6,5,4,6,6,6,5,3,3,2,5,6,5,8,3,4
990694,4,5,5,5,5,4,5,5,5,4,5,6,6,5,6,6,6,6,6,3,6,5,9,1,10,3,1,2
990696,4,5,1,5,4,1,4,5,3,3,5,2,1,5,6,6,6,4,4,3,6,3,8,1,5,1,1,5
990700,1,5,1,2,2,1,1,4,4,2,2,3,6,5,6,2,6,6,3,3,4,1,5,5,5,1,3,5
990703,3,3,4,5,5,1,3,5,5,2,5,3,6,6,6,6,6,6,6,2,1,5,3,10,3,10,2,6
990705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
